Data,Model,Entropy,d,M,ARI,Series Time,Parallel Time
3,cPGMM,1,d = 10,10,0.393914013,7.189369214,1.062531149
3,ccPGMM,0,d = 10,10,0.385076347,7.102713744,0.991648098
3,ccPGMM,1,d = 10,10,0.675172679,7.102640227,0.991574581
3,cPGMM,0,d = 10,25,0.514998048,18.77880639,2.209588985
3,cPGMM,1,d = 10,25,0.576717877,18.79190291,2.2226855
3,ccPGMM,0,d = 10,25,0.527487979,24.7078895,2.793284647
3,ccPGMM,1,d = 10,25,0.506666951,24.7231326,2.808527748
3,cPGMM,0,d = 10,50,0.620283006,43.24728605,4.729675436
3,cPGMM,1,d = 10,50,0.471293461,43.28628767,4.768677052
3,ccPGMM,0,d = 10,50,0.536400928,40.85335412,4.409020181
3,ccPGMM,1,d = 10,50,0.74410778,40.90742969,4.463095748
3,cPGMM,0,d = 10,100,0.630727472,87.35886953,9.008502932
3,cPGMM,1,d = 10,100,0.544756997,87.41594955,9.065582947
3,ccPGMM,0,d = 10,100,0.559262394,82.80651898,8.823532299
3,ccPGMM,1,d = 10,100,0.452240841,82.86498193,8.881995253
3,cPGMM,0,d = 20,10,0.484137848,9.577165798,1.62047238
3,cPGMM,1,d = 20,10,0.411017793,9.582177365,1.625483946
3,ccPGMM,0,d = 20,10,0.826347878,2.346460295,0.580347367
3,ccPGMM,1,d = 20,10,0.875533788,2.360421427,0.594308499
3,cPGMM,0,d = 20,25,0.774910268,27.38466934,3.159987696
3,cPGMM,1,d = 20,25,0.756859879,27.40655245,3.181870814
3,ccPGMM,0,d = 20,25,0.906674638,9.448122847,2.66819915
3,ccPGMM,1,d = 20,25,0.921429589,9.464378913,2.684455216
3,cPGMM,0,d = 20,50,0.529889724,62.14660968,6.266842
3,cPGMM,1,d = 20,50,0.830403943,62.18267407,6.302906386
3,ccPGMM,0,d = 20,50,0.911816619,17.07884763,3.028973218
3,ccPGMM,1,d = 20,50,0.896568707,17.11013211,3.060257697
3,cPGMM,0,d = 20,100,0.5358163,136.1640375,13.67345467
3,cPGMM,1,d = 20,100,0.835005329,136.2714844,13.78090155
3,ccPGMM,0,d = 20,100,0.938217235,36.48410372,4.410765553
3,ccPGMM,1,d = 20,100,0.929334056,36.55107011,4.477731947
3,PGMM,0,PGMM,PGMM,0.902863235,2.863267469,2.863267469
3,GMM,0,GMM,GMM,-0.010184004,0.363214016,0.363214016
3,DBSCAN,0,DBSCAN,DBSCAN,0.457683121,0.077796368,0.077796368
3,PGMM,1,PGMM,PGMM,0.902863235,2.863267469,2.863267469
3,GMM,1,GMM,GMM,-0.010184004,0.363214016,0.363214016
3,DBSCAN,1,DBSCAN,DBSCAN,0.457683121,0.077796368,0.077796368
4,cPGMM,0,d = 10,10,0.30413646,10.70412234,1.459806383
4,cPGMM,1,d = 10,10,0.328757324,10.66627512,1.421959162
4,ccPGMM,0,d = 10,10,0.520340592,5.383339047,0.827288687
4,ccPGMM,1,d = 10,10,0.518313847,5.388276895,0.832226535
4,cPGMM,0,d = 10,25,0.387528557,27.33413351,3.113736101
4,cPGMM,1,d = 10,25,0.464093358,27.35098898,3.130591567
4,ccPGMM,0,d = 10,25,0.330231635,14.10534727,1.711690235
4,ccPGMM,1,d = 10,25,0.518582394,14.1233457,1.729688664
4,cPGMM,0,d = 10,50,0.487290833,53.89655886,5.736243363
4,cPGMM,1,d = 10,50,0.489761185,53.93690027,5.77658478
4,ccPGMM,0,d = 10,50,0.565966041,27.68287026,3.183742332
4,ccPGMM,1,d = 10,50,0.556624246,27.71105901,3.211931082
4,cPGMM,0,d = 10,100,0.462927484,110.0532819,11.1103026
4,cPGMM,1,d = 10,100,0.486558332,110.1286792,11.18569998
4,ccPGMM,0,d = 10,100,0.512597959,58.19811316,6.37185934
4,ccPGMM,1,d = 10,100,0.507740985,58.2689264,6.442672582
4,cPGMM,0,d = 20,10,0.3480486,15.53149486,2.042748853
4,cPGMM,1,d = 20,10,0.308769641,15.54132694,2.052580933
4,ccPGMM,0,d = 20,10,0.780721823,3.499227937,0.799254966
4,ccPGMM,1,d = 20,10,0.772606304,3.503070088,0.803097117
4,cPGMM,0,d = 20,25,0.363314914,50.38268816,5.274902272
4,cPGMM,1,d = 20,25,0.342651277,50.41557979,5.307793903
4,ccPGMM,0,d = 20,25,0.859929364,12.55079981,1.542220585
4,ccPGMM,1,d = 20,25,0.879097009,12.56153474,1.55295552
4,cPGMM,0,d = 20,50,0.347775957,110.7352996,10.92955022
4,cPGMM,1,d = 20,50,0.441664426,110.7598804,10.954131
4,ccPGMM,0,d = 20,50,0.813941463,24.52811061,2.910059786
4,ccPGMM,1,d = 20,50,0.863521936,24.56822089,2.950170068
4,cPGMM,0,d = 20,100,0.430130011,224.4500948,21.69449445
4,cPGMM,1,d = 20,100,0.400860981,224.5280252,21.77242479
4,ccPGMM,0,d = 20,100,0.879973288,53.22668629,6.065262
4,ccPGMM,1,d = 20,100,0.892921814,53.27212603,6.110701732
4,PGMM,0,PGMM,PGMM,0.548763769,7.072545298,7.072545298
4,GMM,0,GMM,GMM,-0.010280736,0.477563683,0.477563683
4,DBSCAN,0,DBSCAN,DBSCAN,0.474374734,0.072172566,0.072172566
4,PGMM,1,PGMM,PGMM,0.548763769,7.072545298,7.072545298
4,GMM,1,GMM,GMM,-0.010280736,0.477563683,0.477563683
4,DBSCAN,1,DBSCAN,DBSCAN,0.474374734,0.072172566,0.072172566
5,cPGMM,0,d = 10,10,0.356399925,8.770568208,1.386885146
5,cPGMM,1,d = 10,10,0.224187287,8.763535643,1.379852581
5,ccPGMM,0,d = 10,10,0.290206877,3.413261795,0.554262459
5,ccPGMM,1,d = 10,10,0.300753238,3.434590665,0.57559133
5,cPGMM,0,d = 10,25,0.370973411,25.80630767,3.193943199
5,cPGMM,1,d = 10,25,0.345484957,25.81260269,3.200238216
5,ccPGMM,0,d = 10,25,0.286050234,11.30281813,1.394134498
5,ccPGMM,1,d = 10,25,0.28160932,11.33163323,1.4229496
5,cPGMM,0,d = 10,50,0.390620869,62.84892884,6.875097529
5,cPGMM,1,d = 10,50,0.408512916,62.94745091,6.9736196
5,ccPGMM,0,d = 10,50,0.2855384,22.55758824,2.688190452
5,ccPGMM,1,d = 10,50,0.282681433,22.59099359,2.7215958
5,cPGMM,0,d = 10,100,0.467404632,114.1222599,11.60176832
5,cPGMM,1,d = 10,100,0.40409816,114.153831,11.6333395
5,ccPGMM,0,d = 10,100,0.280965455,44.87206349,5.058914769
5,ccPGMM,1,d = 10,100,0.281290672,44.9079528,5.094804072
5,cPGMM,0,d = 20,10,0.331388905,14.34271285,2.055403829
5,cPGMM,1,d = 20,10,0.376176984,14.34476333,2.057454312
5,ccPGMM,0,d = 20,10,0.541537694,8.182764006,1.428485147
5,ccPGMM,1,d = 20,10,0.709141865,8.185563143,1.431284285
5,cPGMM,0,d = 20,25,0.510327431,49.43143542,5.243152932
5,cPGMM,1,d = 20,25,0.403789458,49.44361058,5.255328099
5,ccPGMM,0,d = 20,25,0.511479161,30.80481709,3.648806632
5,ccPGMM,1,d = 20,25,0.503593154,30.81966385,3.663653398
5,cPGMM,0,d = 20,50,0.548789224,97.46806933,10.03380578
5,cPGMM,1,d = 20,50,0.481227161,97.47851594,10.0442524
5,ccPGMM,0,d = 20,50,0.780561443,49.06026218,5.292362634
5,ccPGMM,1,d = 20,50,0.567342774,49.07652744,5.308627899
5,cPGMM,0,d = 20,100,0.586907635,198.7821559,19.53321152
5,cPGMM,1,d = 20,100,0.36061495,198.8622619,19.61331758
5,ccPGMM,0,d = 20,100,0.693247099,113.0496579,11.7297171
5,ccPGMM,1,d = 20,100,0.604566823,113.1044516,11.78451078
5,PGMM,0,PGMM,PGMM,0.545942752,7.350259765,7.350259765
5,GMM,0,GMM,GMM,-0.010377429,0.465283533,0.465283533
5,DBSCAN,0,DBSCAN,DBSCAN,0.379318734,0.088151066,0.088151066
5,PGMM,1,PGMM,PGMM,0.545942752,7.350259765,7.350259765
5,GMM,1,GMM,GMM,-0.010377429,0.465283533,0.465283533
5,DBSCAN,1,DBSCAN,DBSCAN,0.379318734,0.088151066,0.088151066
