Data,Model,Entropy,d,M,ARI,Series Time,Parallel Time
3,cPGMM,1,d = 10,10,0.205710934,9.277483539,1.253717498
3,ccPGMM,0,d = 10,10,0.427554907,4.368228718,0.669264265
3,ccPGMM,1,d = 10,10,0.431948357,4.368749611,0.669785158
3,cPGMM,0,d = 10,25,0.329865104,30.23645007,3.635431453
3,cPGMM,1,d = 10,25,0.21879802,30.23675464,3.635736016
3,ccPGMM,0,d = 10,25,0.529949729,12.03473206,1.473333983
3,ccPGMM,1,d = 10,25,0.364095456,12.06579991,1.504401831
3,cPGMM,0,d = 10,50,0.300270325,62.09369808,6.486454384
3,cPGMM,1,d = 10,50,0.244938047,62.12873481,6.521491118
3,ccPGMM,0,d = 10,50,0.535607475,23.62571127,2.711703853
3,ccPGMM,1,d = 10,50,0.453733455,23.65716595,2.743158531
3,cPGMM,0,d = 10,100,0.327099018,120.5567991,12.21733306
3,cPGMM,1,d = 10,100,0.240946675,120.6326176,12.2931516
3,ccPGMM,0,d = 10,100,0.411714716,50.9525675,5.619106197
3,ccPGMM,1,d = 10,100,0.417121532,50.9716722,5.638210901
3,cPGMM,0,d = 20,10,0.356601945,13.867232,1.789866916
3,cPGMM,1,d = 20,10,0.336827648,13.87363779,1.796272707
3,ccPGMM,0,d = 20,10,0.627454505,7.222402008,1.266981848
3,ccPGMM,1,d = 20,10,0.620811868,7.236358945,1.280938784
3,cPGMM,0,d = 20,25,0.460837471,38.49280184,4.189173921
3,cPGMM,1,d = 20,25,0.442620244,38.50120647,4.197578549
3,ccPGMM,0,d = 20,25,0.716439597,18.84053484,2.394336903
3,ccPGMM,1,d = 20,25,0.616247052,18.85318625,2.406988307
3,cPGMM,0,d = 20,50,0.401262644,74.02892391,7.661446917
3,cPGMM,1,d = 20,50,0.456704955,74.07243966,7.704962667
3,ccPGMM,0,d = 20,50,0.694345748,43.49435749,4.661562936
3,ccPGMM,1,d = 20,50,0.73400087,43.52971915,4.696924599
3,cPGMM,0,d = 20,100,0.605730887,157.2884431,15.50298278
3,cPGMM,1,d = 20,100,0.570956862,157.3678209,15.58236057
3,ccPGMM,0,d = 20,100,0.754834903,93.51919206,9.805838867
3,ccPGMM,1,d = 20,100,0.574502149,93.56323706,9.849883866
3,PGMM,0,PGMM,PGMM,0.578174766,3.559923232,3.559923232
3,GMM,0,GMM,GMM,-0.010184004,0.913841617,0.913841617
3,DBSCAN,0,DBSCAN,DBSCAN,0.394004495,0.084659465,0.084659465
3,PGMM,1,PGMM,PGMM,0.578174766,3.559923232,3.559923232
3,GMM,1,GMM,GMM,-0.010184004,0.913841617,0.913841617
3,DBSCAN,1,DBSCAN,DBSCAN,0.394004495,0.084659465,0.084659465
4,cPGMM,0,d = 10,10,0.182741441,9.77204258,1.490032272
4,cPGMM,1,d = 10,10,0.006427643,9.770994111,1.488983802
4,ccPGMM,0,d = 10,10,0.416156597,3.594696188,0.663561686
4,ccPGMM,1,d = 10,10,0.412285554,3.569054302,0.637919799
4,cPGMM,0,d = 10,25,0.293994543,27.67604373,3.240879083
4,cPGMM,1,d = 10,25,0.26247638,27.67199565,3.236831005
4,ccPGMM,0,d = 10,25,0.482515037,12.89643861,1.621752866
4,ccPGMM,1,d = 10,25,0.481807425,12.92578654,1.651100802
4,cPGMM,0,d = 10,50,0.277835693,60.44143047,6.346063308
4,cPGMM,1,d = 10,50,0.296656186,60.4706605,6.375293334
4,ccPGMM,0,d = 10,50,0.357063125,23.16867829,2.684641496
4,ccPGMM,1,d = 10,50,0.433494493,23.20765302,2.72361623
4,cPGMM,0,d = 10,100,0.37790149,110.8263748,11.49175553
4,cPGMM,1,d = 10,100,0.305522251,110.9810176,11.6463983
4,ccPGMM,0,d = 10,100,0.409305172,51.54208777,5.76457115
4,ccPGMM,1,d = 10,100,0.444538508,51.57922357,5.80170695
4,cPGMM,0,d = 20,10,0.263882841,14.8014938,2.28201745
4,cPGMM,1,d = 20,10,0.15706469,14.80623462,2.286758268
4,ccPGMM,0,d = 20,10,0.356169232,4.234144402,0.828164613
4,ccPGMM,1,d = 20,10,0.363394268,4.244797754,0.838817966
4,cPGMM,0,d = 20,25,0.319930605,37.82517328,4.215565503
4,cPGMM,1,d = 20,25,0.296941018,37.8312952,4.22168742
4,ccPGMM,0,d = 20,25,0.693153543,11.13081296,1.435366249
4,ccPGMM,1,d = 20,25,0.649389774,11.14925979,1.45381308
4,cPGMM,0,d = 20,50,0.429665914,85.42384654,8.585087295
4,cPGMM,1,d = 20,50,0.353145881,85.47723932,8.638480079
4,ccPGMM,0,d = 20,50,0.700933588,27.95165581,3.42354542
4,ccPGMM,1,d = 20,50,0.690037635,27.97197102,3.443860634
4,cPGMM,0,d = 20,100,0.368836768,177.3957,17.63651193
4,cPGMM,1,d = 20,100,0.354831307,177.4382676,17.67907962
4,ccPGMM,0,d = 20,100,0.692314924,57.70691305,6.544369181
4,ccPGMM,1,d = 20,100,0.398264397,57.74523842,6.582694554
4,PGMM,0,PGMM,PGMM,0.336976332,6.377188067,6.377188067
4,GMM,0,GMM,GMM,-0.010280736,0.553558866,0.553558866
4,DBSCAN,0,DBSCAN,DBSCAN,0.419492475,0.083219552,0.083219552
